Rk,Player,Nation,Position,Team,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Minutes,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
546,Adam Wharton,eng ENG,MF,Crystal Palace,20-334,2004,19,15,1258,14.0,0,2,2,0,0,0,2,0,0.3,0.3,3.0,3.3,14,105,10,0.00,0.14,0.14,0.00,0.14,0.02,0.21,0.24,0.02,0.24,Matches,1258,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,12,5,41.7,0.86,0.36,0.00,0.00,25.8,0,0.03,-0.3,-0.3,521,689,75.6,9826,3632,197,240,82.1,249,309,80.6,67,103,65.0,2.1,-1.0,25,73,18,5,56,4.01,44,10,0,0,1,6,0.43,4,2,0,0,0,0,827,27,196,439,198,10,827,2,20.0,8,80.0,413,2,14,13,509,0,12,0,35,18,14,0,0,0,96,7,16,30.4
512,Adama Traoré,es ESP,"FW,MF",Fulham,29-097,1996,32,16,1568,17.4,2,6,8,2,0,0,2,0,3.8,3.8,4.7,8.5,87,61,143,0.11,0.34,0.46,0.11,0.46,0.22,0.27,0.49,0.22,0.49,Matches,1568,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,36,11,30.6,2.07,0.63,0.06,0.18,14.4,0,0.11,-1.8,-1.8,383,532,72.0,5972,1501,212,261,81.2,130,177,73.4,26,47,55.3,4.3,+1.3,37,32,32,17,73,4.19,59,0,8,0,2,9,0.52,8,0,1,0,0,0,725,4,74,258,415,86,725,44,50.0,33,37.5,483,33,32,19,548,0,20,1,90,1,12,0,0,0,78,24,25,49.0
213,Albert Grønbaek,dk DEN,"FW,MF",Southampton,23-344,2001,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches,143,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,0,0.0,1.26,0.00,0.00,N/a,22.4,0,0.06,-0.1,-0.1,13,18,72.2,135,43,9,11,81.8,2,4,50.0,0,0,N/a,0.0,0.0,1,2,0,0,2,1.26,1,0,0,0,0,0,0.00,0,0,0,0,0,0,38,2,9,14,15,2,38,0,0.0,4,100.0,18,1,5,4,21,0,0,0,1,0,1,0,0,0,6,2,0,100.0
194,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-305,2004,33,22,2056,22.8,5,1,6,5,0,0,2,0,7.0,7.0,3.6,10.6,134,54,274,0.22,0.04,0.26,0.22,0.26,0.31,0.16,0.46,0.31,0.46,Matches,2056,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,81,28,34.6,3.55,1.23,0.06,0.18,17.1,0,0.09,-2.0,-2.0,600,759,79.1,8376,1083,379,426,89.0,165,199,82.9,27,47,57.4,2.3,-2.6,30,20,22,3,74,3.24,55,1,3,6,0,4,0.18,2,0,0,1,1,0,1078,13,120,340,636,164,1078,26,30.6,51,60.0,783,65,61,47,829,0,11,10,50,13,18,0,0,0,103,3,23,11.5
457,Alex Scott,eng ENG,MF,Bournemouth,21-254,2003,17,7,683,7.6,0,0,0,0,0,0,2,0,0.7,0.7,0.8,1.5,14,48,32,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.19,0.09,0.19,Matches,683,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,13,5,38.5,1.71,0.66,0.00,0.00,20.0,0,0.05,-0.7,-0.7,252,304,82.9,4041,1262,125,141,88.7,97,106,91.5,19,32,59.4,0.8,-0.8,10,37,4,0,27,3.55,18,1,0,3,3,2,0.26,2,0,0,0,0,0,437,21,78,237,127,17,437,5,20.0,13,52.0,232,2,22,8,262,0,10,0,5,10,12,0,0,0,49,6,7,46.2
337,Alex McCarthy,eng ENG,GK,Southampton,35-150,1989,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,450,13,2.60,37,24,70.3,0,0,5,0,0.0,2,0,0,0.0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,N/a,0.0,0.0,117,156,75.0,2823,1985,41,43,95.3,45,49,91.8,30,61,49.2,0.0,0.0,0,5,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,173,141,173,0,0,0,173,0,N/a,0,N/a,100,0,0,0,88,0,0,0,0,0,0,0,0,0,4,2,0,100.0
250,Alex Iwobi,ng NGA,"FW,MF",Fulham,28-364,1996,34,32,2721,30.2,9,6,15,9,0,0,1,0,4.5,4.5,6.5,11.0,132,196,221,0.30,0.20,0.50,0.30,0.50,0.15,0.22,0.36,0.15,0.36,Matches,2721,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,61,27,44.3,2.02,0.89,0.15,0.33,18.3,0,0.07,+4.5,+4.5,1037,1394,74.4,17737,5225,519,605,85.8,409,528,77.5,90,166,54.2,6.6,-0.5,53,106,77,16,112,3.70,96,0,8,2,0,16,0.53,13,0,2,1,0,0,1693,31,225,678,815,107,1693,42,48.8,39,45.3,1200,37,54,38,1321,0,17,4,118,11,21,0,0,0,124,5,31,13.9
400,Alex Palmer,eng ENG,GK,Ipswich Town,28-265,1996,10,10,900,10.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,900,25,2.50,60,37,60.0,1,2,7,0,0.0,1,0,0,0.0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,N/a,0.0,0.0,207,316,65.5,6495,4920,41,43,95.3,85,85,100.0,81,188,43.1,0.0,0.0,1,6,0,0,2,0.20,2,0,0,0,0,0,0.00,0,0,0,0,0,0,359,301,353,7,0,0,359,0,N/a,0,N/a,157,0,1,0,112,0,1,0,0,0,0,0,0,0,14,3,0,100.0
249,Alexander Isak,se SWE,FW,Newcastle Utd,25-223,1999,31,31,2487,27.6,22,6,28,19,3,3,1,0,19.0,16.6,4.0,20.7,77,77,196,0.80,0.22,1.01,0.69,0.90,0.69,0.15,0.83,0.60,0.75,Matches,2487,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,87,37,42.5,3.15,1.34,0.22,0.51,14.5,3,0.19,+3.0,+2.4,459,620,74.0,6537,1466,272,327,83.2,141,182,77.5,23,37,62.2,3.5,+2.0,38,32,26,1,85,3.08,64,1,8,2,2,14,0.51,11,0,1,0,1,1,933,20,54,348,545,175,930,42,47.7,44,50.0,558,43,62,50,659,0,25,20,15,3,5,1,0,0,54,25,48,34.2
313,Alexis Mac Allister,ar ARG,MF,Liverpool,26-129,1998,33,30,2553,28.4,5,4,9,5,0,0,6,0,2.8,2.8,4.4,7.3,34,170,78,0.18,0.14,0.32,0.18,0.32,0.10,0.16,0.26,0.10,0.26,Matches,2553,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,38,13,34.2,1.34,0.46,0.13,0.38,18.1,1,0.07,+2.2,+2.2,1245,1493,83.4,19843,5602,645,716,90.1,482,546,88.3,85,154,55.2,5.5,-0.4,43,118,34,2,118,4.16,82,23,2,2,3,14,0.49,10,2,0,2,0,0,1827,55,279,944,624,60,1827,16,38.1,21,50.0,893,5,31,22,1203,0,60,2,84,22,58,0,0,0,145,19,34,35.8
224,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,23-062,2002,11,0,134,1.5,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.4,4,3,14,0.00,0.00,0.00,0.00,0.00,0.24,0.05,0.28,0.24,0.28,Matches,134,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,4,0,0.0,2.69,0.00,0.00,N/a,15.7,0,0.09,-0.4,-0.4,25,30,83.3,278,29,20,23,87.0,5,7,71.4,0,0,N/a,0.0,-0.1,2,0,0,0,8,5.37,4,0,3,1,0,0,0.00,0,0,0,0,0,0,53,2,6,20,30,9,53,4,57.1,3,42.9,29,4,7,4,36,0,8,1,0,0,0,0,0,0,4,5,9,35.7
16,Alisson,br BRA,GK,Liverpool,32-212,1992,24,24,2148,23.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,2148,20,0.84,71,52,71.8,18,5,1,9,37.5,0,0,0,N/a,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,N/a,0.0,0.0,630,758,83.1,13996,9088,183,185,98.9,338,343,98.5,108,226,47.8,0.2,-0.6,1,10,0,0,6,0.25,6,0,0,0,0,1,0.04,1,0,0,0,0,0,801,577,786,15,0,0,801,1,100.0,0,0.0,509,0,1,0,485,0,0,0,0,0,0,0,0,0,41,6,0,100.0
31,Alphonse Areola,fr FRA,GK,West Ham,32-064,1993,23,22,1990,22.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1990,38,1.72,103,68,63.1,4,6,12,4,18.2,0,0,0,N/a,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,N/a,0.0,0.0,615,873,70.4,16400,11166,133,134,99.3,299,314,95.2,180,415,43.4,0.0,0.0,0,9,0,0,3,0.14,2,1,0,0,0,0,0.00,0,0,0,0,0,0,927,740,918,10,0,0,927,0,N/a,0,N/a,530,0,0,0,481,0,0,0,0,0,2,0,0,1,27,2,0,100.0
131,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-295,2002,22,17,1594,17.7,6,6,12,6,0,0,3,0,4.1,4.1,3.9,8.0,92,53,159,0.34,0.34,0.68,0.34,0.68,0.23,0.22,0.45,0.23,0.45,Matches,1594,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,40,13,32.5,2.26,0.73,0.15,0.46,17.7,0,0.10,+1.9,+1.9,658,794,82.9,9051,1880,407,450,90.4,185,217,85.3,33,63,52.4,3.6,+2.1,39,25,29,5,80,4.52,54,9,7,4,4,16,0.90,7,0,3,1,1,4,1012,13,150,374,504,109,1012,36,50.0,32,44.4,656,52,35,32,714,0,19,9,38,11,26,1,0,0,93,9,15,37.5
391,Amadou Onana,be BEL,MF,Aston Villa,23-259,2001,22,17,1348,15.0,3,0,3,3,0,0,4,0,2.1,2.1,0.3,2.4,20,58,13,0.20,0.00,0.20,0.20,0.20,0.14,0.02,0.16,0.14,0.16,Matches,1348,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,17,6,35.3,1.14,0.40,0.18,0.50,14.7,0,0.12,+0.9,+0.9,589,666,88.4,9251,2316,301,319,94.4,250,278,89.9,25,35,71.4,0.5,-0.3,7,52,8,1,25,1.67,19,2,0,0,0,4,0.27,2,1,0,1,0,0,836,60,227,490,132,20,836,11,64.7,3,17.6,459,1,10,9,563,0,30,0,1,24,24,0,0,0,64,25,18,58.1
406,Andreas Pereira,br BRA,MF,Fulham,29-121,1996,31,23,1879,20.9,2,4,6,2,0,1,7,0,3.5,2.7,4.5,7.2,27,99,78,0.10,0.19,0.29,0.10,0.29,0.17,0.21,0.38,0.13,0.34,Matches,1879,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,35,8,22.9,1.68,0.38,0.06,0.25,22.1,6,0.08,-1.5,-0.7,641,931,68.9,11658,3703,296,354,83.6,245,313,78.3,87,212,41.0,4.3,-0.5,56,64,19,4,101,4.84,52,41,0,4,0,8,0.38,4,2,0,0,2,0,1096,17,156,446,511,39,1095,13,44.8,8,27.6,556,8,26,21,648,0,27,1,168,8,12,1,0,0,97,12,21,36.4
432,Andrew Robertson,sct SCO,DF,Liverpool,31-052,1994,31,27,2308,25.6,0,0,0,0,0,0,3,1,1.0,1.0,4.1,5.1,58,165,95,0.00,0.00,0.00,0.00,0.00,0.04,0.16,0.20,0.04,0.20,Matches,2308,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,13,2,15.4,0.51,0.08,0.00,0.00,14.5,0,0.08,-1.0,-1.0,1456,1754,83.0,24521,7781,713,758,94.1,623,718,86.8,103,220,46.8,3.9,-4.1,38,144,28,16,75,2.92,63,9,1,0,1,3,0.12,3,0,0,0,0,0,1947,86,500,882,578,50,1947,7,38.9,10,55.6,1028,6,25,11,1302,0,11,2,136,20,22,0,1,1,91,6,12,33.3
26,André,br BRA,MF,Wolves,23-290,2001,29,27,2170,24.1,0,0,0,0,0,0,7,0,0.4,0.4,0.7,1.0,8,92,11,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,2170,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,8,1,12.5,0.33,0.04,0.00,0.00,25.8,0,0.04,-0.4,-0.4,1074,1158,92.7,16897,4713,550,577,95.3,417,438,95.2,65,82,79.3,0.6,-0.7,14,97,4,0,43,1.78,35,3,1,0,4,3,0.12,2,1,0,0,0,0,1402,80,380,905,131,3,1402,13,50.0,9,34.6,768,0,27,17,941,0,34,0,0,32,46,0,1,0,172,2,6,25.0
392,André Onana,cm CMR,GK,Manchester Utd,29-030,1996,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,2970,43,1.30,129,86,69.0,10,9,14,9,27.3,3,1,0,25.0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,N/a,0.0,0.0,920,1259,73.1,21868,13211,218,220,99.1,511,516,99.0,186,513,36.3,0.2,-0.2,1,24,0,0,4,0.12,3,1,0,0,0,0,0.00,0,0,0,0,0,0,1323,1005,1302,22,0,0,1323,0,N/a,0,N/a,932,0,1,0,810,0,0,0,0,0,1,0,0,0,33,6,0,100.0
193,Andrés García,es ESP,"DF,MF",Aston Villa,22-084,2003,7,5,318,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,26,15,28,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches,318,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,0,0.0,0.57,0.00,0.00,N/a,26.6,0,0.02,0.0,0.0,174,201,86.6,2725,577,89,96,92.7,74,82,90.2,7,13,53.8,0.4,-0.2,3,9,8,5,3,0.85,3,0,0,0,0,0,0.00,0,0,0,0,0,0,256,8,38,108,112,2,256,5,27.8,12,66.7,159,2,10,6,168,0,1,0,18,2,5,0,0,0,15,0,6,0.0
248,Andy Irving,sct SCO,MF,West Ham,24-354,2000,10,1,166,1.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.4,0,9,4,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19,Matches,166,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,4,2,50.0,2.17,1.08,0.00,0.00,26.2,0,0.03,-0.1,-0.1,109,124,87.9,1705,439,61,64,95.3,36,43,83.7,9,9,100.0,0.1,-0.2,1,14,1,1,5,2.68,4,0,1,0,0,0,0.00,0,0,0,0,0,0,150,7,37,89,24,0,150,1,100.0,0,0.0,73,0,1,3,104,0,6,0,2,1,4,0,0,0,10,1,1,50.0
207,Anthony Gordon,eng ENG,FW,Newcastle Utd,24-067,2001,30,25,2200,24.4,6,5,11,5,1,2,2,0,8.0,6.4,4.9,11.3,109,92,194,0.25,0.20,0.45,0.20,0.41,0.33,0.20,0.53,0.26,0.46,Matches,2200,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,55,16,29.1,2.25,0.65,0.09,0.31,16.6,1,0.12,-2.0,-1.4,661,904,73.1,10125,3348,371,431,86.1,220,283,77.7,49,116,42.2,4.9,+0.1,50,59,50,16,98,4.01,71,10,7,7,0,12,0.49,9,1,1,0,1,0,1165,16,115,439,630,123,1163,35,36.5,45,46.9,748,55,28,35,838,0,19,8,120,6,17,1,0,0,92,5,7,41.7
160,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,23-005,2002,34,27,2142,23.8,6,9,15,6,0,0,1,0,4.0,4.0,4.7,8.8,84,52,177,0.25,0.38,0.63,0.25,0.63,0.17,0.20,0.37,0.17,0.37,Matches,2142,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,38,19,50.0,1.60,0.80,0.16,0.32,17.2,4,0.11,+2.0,+2.0,452,696,64.9,6511,2203,274,329,83.3,118,187,63.1,37,110,33.6,4.1,+4.3,43,27,24,7,87,3.66,49,19,5,8,0,14,0.59,10,2,1,0,1,0,953,29,127,276,566,94,953,23,30.7,35,46.7,509,41,67,38,637,0,8,14,151,5,12,0,0,0,82,22,33,40.0
